method,model,setting,balanced_accuracy,macro_f1,unknown_rate
finetune,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,lora,0.5078245598830917,0.473325196168562,0.0
finetune,Qwen/Qwen3-14B,lora,0.5378137946342311,0.5185660538515453,0.0
finetune,t-tech/T-pro-it-2.1,qlora,0.5299078621995289,0.5295149924286858,0.0
finetune,t-tech/T-pro-it-2.1,adalora,0.4489229474596538,0.4166751408368647,0.0
finetune,Qwen/Qwen3-32B,qlora,0.5352158157465697,0.5197310413627143,0.0
finetune,Qwen/Qwen3-32B,adalora,0.4049020781907687,0.3906573941231148,0.0
