run_key,method,model,balanced_accuracy,macro_f1,f1_group_A,f1_group_B,f1_group_C,trainable_params,train_time_sec,timestamp,is_cw,model_short,mm
ruadapt_qwen3_32b_adalora_iter2,adalora,RefalMachine/RuadaptQwen3-32B-Instruct,0.4862,0.4734,0.6386,0.5046,0.5139,201521664,15599.222311735153,2026-05-11T02:31:44,False,Ruadapt-Qwen3-32B,Ruadapt-Qwen3-32B · adalora
ruadapt_qwen3_32b_adalora_iter4_cw,adalora,RefalMachine/RuadaptQwen3-32B-Instruct,0.4901,0.4578,0.6829,0.4022,0.5972,201521664,15666.378425836563,2026-05-12T06:57:02,True,Ruadapt-Qwen3-32B,Ruadapt-Qwen3-32B · adalora
qwen3_14b_adalora_iter2,adalora,Qwen/Qwen3-14B,0.4931,0.456,0.702,0.4943,0.45,96528960,7610.17448925972,2026-05-11T04:48:41,False,Qwen3-14B,Qwen3-14B · adalora
qwen3_14b_tinylora_iter4_cw,tinylora,Qwen/Qwen3-14B,0.4419,0.438,0.6598,0.3823,0.5056,194560,5405.729538202286,2026-05-12T02:14:51,True,Qwen3-14B,Qwen3-14B · tinylora
yandexgpt_5_lite_8b_tinylora_iter3,tinylora,yandex/YandexGPT-5-Lite-8B-instruct,0.4659,0.4342,0.6607,0.4764,0.4722,204800,4478.059773445129,2026-05-11T06:44:09,False,YGPT-5-Lite-8B-instruct,YGPT-5-Lite-8B-instruct · tinylora
yandexgpt_5_lite_8b_adalora_iter3,adalora,yandex/YandexGPT-5-Lite-8B-instruct,0.4729,0.4334,0.72,0.4651,0.4167,63067392,3702.7526047229767,2026-05-11T01:30:05,False,YGPT-5-Lite-8B-instruct,YGPT-5-Lite-8B-instruct · adalora
qwen3_14b_tinylora_iter1,tinylora,Qwen/Qwen3-14B,0.4395,0.4319,0.6655,0.4196,0.45,194560,5912.912348270416,2026-05-10T06:20:48,False,Qwen3-14B,Qwen3-14B · tinylora
vikhr_nemo_12b_tinylora_iter4_cw,tinylora,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,0.45,0.4308,0.5956,0.4425,0.5139,194560,4460.928250551224,2026-05-12T10:58:30,True,Vikhr-Nemo-12B,Vikhr-Nemo-12B · tinylora
qwen3_14b_adalora_iter4_cw,adalora,Qwen/Qwen3-14B,0.4478,0.4219,0.6426,0.4712,0.4222,96528960,7557.515374660492,2026-05-12T02:25:24,True,Qwen3-14B,Qwen3-14B · adalora
adalora_t_pro_it_2_1,adalora,t-tech/T-pro-it-2.1,0.4489,0.4167,0.6408,0.5255,0.3472,134409216,12266.63795876503,2026-04-24T02:41:04,False,T-pro-it-2.1,T-pro-it-2.1 · adalora
qwen3_14b_qlora_iter4_cw,qlora,Qwen/Qwen3-14B,0.4366,0.4147,0.6147,0.4867,0.3667,64409600,7505.582500696182,2026-05-12T02:25:03,True,Qwen3-14B,Qwen3-14B · qlora
tpro_it_21_adalora_cw,adalora,t-tech/T-pro-it-2.1,0.4378,0.4093,0.6933,0.443,0.375,134409216,15666.57029080391,2026-05-10T17:13:13,True,T-pro-it-2.1,T-pro-it-2.1 · adalora
yandexgpt_5_lite_8b_tinylora_iter4_cw,tinylora,yandex/YandexGPT-5-Lite-8B-instruct,0.436,0.4086,0.6222,0.3561,0.5333,204800,2596.366849422455,2026-05-12T09:45:34,True,YGPT-5-Lite-8B-instruct,YGPT-5-Lite-8B-instruct · tinylora
yandexgpt_5_lite_8b_adalora_iter4_cw,adalora,yandex/YandexGPT-5-Lite-8B-instruct,0.4063,0.4032,0.7272,0.4027,0.2917,63067392,3632.8786008358,2026-05-12T09:00:13,True,YGPT-5-Lite-8B-instruct,YGPT-5-Lite-8B-instruct · adalora
vikhr_nemo_12b_adalora_iter1,adalora,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,0.434,0.402,0.6179,0.388,0.4722,57205120,8737.286090612411,2026-05-10T13:36:16,False,Vikhr-Nemo-12B,Vikhr-Nemo-12B · adalora
vistral_24b_adalora_iter4_cw,adalora,Vikhrmodels/Vistral-24B-Instruct,0.4242,0.3911,0.6108,0.4057,0.45,92594560,12808.101964712143,2026-05-12T11:34:53,True,Vistral-24B,Vistral-24B · adalora
vikhr_nemo_12b_adalora_iter4_cw,adalora,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,0.4001,0.3819,0.6704,0.3467,0.375,57205120,7179.347079753876,2026-05-12T11:17:43,True,Vikhr-Nemo-12B,Vikhr-Nemo-12B · adalora
qwen25_32b_adalora_iter2,adalora,Qwen/Qwen2.5-32B-Instruct,0.4521,0.3804,0.6006,0.4189,0.5056,201521664,18946.21270465851,2026-05-11T03:28:19,False,Qwen2.5-32B,Qwen2.5-32B · adalora
vikhr_nemo_12b_tinylora_iter1,tinylora,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,0.3861,0.3708,0.5806,0.417,0.3472,194560,4446.976407766342,2026-05-10T12:44:37,False,Vikhr-Nemo-12B,Vikhr-Nemo-12B · tinylora
ruadapt_qwen3_32b_qlora_iter4_cw,qlora,RefalMachine/RuadaptQwen3-32B-Instruct,0.3965,0.3627,0.5963,0.45,0.25,268619776,7812.551064014435,2026-05-12T04:47:46,True,Ruadapt-Qwen3-32B,Ruadapt-Qwen3-32B · qlora
qwen3_32b_adalora_iter4_cw,adalora,Qwen/Qwen3-32B,0.3632,0.3574,0.5998,0.4437,0.25,134409216,12718.524380683899,2026-05-12T05:59:52,True,Qwen3-32B,Qwen3-32B · adalora
qwen25_32b_adalora_iter4_cw,adalora,Qwen/Qwen2.5-32B-Instruct,0.3911,0.3448,0.6173,0.354,0.375,201521664,18214.677857398987,2026-05-12T05:24:29,True,Qwen2.5-32B,Qwen2.5-32B · adalora
